contender,scenario,seed_band,n_episodes,episode_length,p50,p95,p99,mean_lat,sla_pct,shed_pct,reward,hhi
candidate_v2,heterogeneous,30000-30039,40,128,31.256524818525783,535.6923501930678,823.6064132552754,105.76445351411476,16.58203125,4.237073613953614,-1.309766950435228,0.25428245417671813
candidate_v2,heterogeneous,31000-31039,40,128,30.88531936246735,583.7192708951912,762.6530299377051,117.0609607506311,18.76953125,6.468771678484313,-1.5472184884716693,0.2742398188205489
candidate_v2,heterogeneous,32000-32039,40,128,30.730427306600397,693.6857653816215,1050.890335232023,144.0659324583716,20.78125,7.406896684261724,-1.8131383293430219,0.28410161037510606
candidate_v2,heterogeneous,33000-33039,40,128,29.185368238566397,653.8554715261876,959.3563688414042,122.24767425044422,16.875,6.453646099429604,-1.544391103645365,0.2758070084455676
candidate_v2,heterogeneous,34000-34039,40,128,30.080766794043946,667.5621411620623,1072.2117327319772,129.93916279731616,19.140625,6.624827958412384,-1.6520650979072198,0.2766861074830862
candidate_a2c,heterogeneous,30000-30039,40,128,31.2123010363948,709.2299629417381,905.0877641026601,131.56959812911487,18.92578125,5.46042883073949,-1.5803578761571322,0.26081345889594826
candidate_a2c,heterogeneous,31000-31039,40,128,32.01017055113169,666.8708156365469,942.1748232511254,153.38032687602131,23.4765625,7.863908834268443,-1.948833247748091,0.2818386722061816
candidate_a2c,heterogeneous,32000-32039,40,128,31.985607615404888,808.9363345928916,979.9760764340402,175.4045678063332,23.75,8.620173065430748,-2.142967181605139,0.28166152523766524
candidate_a2c,heterogeneous,33000-33039,40,128,31.583461256604707,844.1724673309698,1107.2833566101212,200.42116402216342,26.25,9.010620797944577,-2.3404865812622853,0.2862523147769281
candidate_a2c,heterogeneous,34000-34039,40,128,30.94177329230555,827.414356740023,1167.2837058555745,159.7149462949939,20.29296875,7.465908157113667,-1.8920654679727718,0.27144345812169857
candidate_sac,heterogeneous,30000-30039,40,128,28.733689045491786,606.7283645295504,843.3321564895574,119.06483183721863,17.98828125,7.091477472214,-1.5354230203839603,0.5800297705249842
candidate_sac,heterogeneous,31000-31039,40,128,31.610749662362892,677.4467994341244,806.4358488706878,159.64839467671362,26.07421875,11.365081909272128,-2.0691439140228645,0.5337657424156839
candidate_sac,heterogeneous,32000-32039,40,128,30.7153302220771,775.9964577297304,1121.7587484240057,179.06650149803608,26.035156250000004,11.21631227150179,-2.2348771446299684,0.5970829362332524
candidate_sac,heterogeneous,33000-33039,40,128,29.886674461817794,711.2435102490666,945.3659883891413,161.49523575734756,24.31640625,10.622653953885486,-2.0408101101820426,0.5289486229703313
candidate_sac,heterogeneous,34000-34039,40,128,29.0402322286255,593.8654810181375,865.2806583238317,137.0323541104695,22.01171875,9.878175325050911,-1.8142521832260474,0.5865384074476379
candidate_dqn,heterogeneous,30000-30039,40,128,32.95223072101693,767.6209465277403,1133.407833365027,153.70748287943593,19.0625,4.818393542389883,-1.6822209759428248,0.24247992150809558
candidate_dqn,heterogeneous,31000-31039,40,128,33.11495275393091,926.4879026465533,1267.8741524764223,200.96960492639508,26.09375,8.404247162496173,-2.2651890503075007,0.27772785429286656
candidate_dqn,heterogeneous,32000-32039,40,128,32.74011022481506,900.4967468435694,1227.2130816760757,185.8987912167177,24.375,7.435742462455449,-2.1324925151525624,0.2612308107809091
candidate_dqn,heterogeneous,33000-33039,40,128,32.11463968222937,1095.4716290863682,1322.802747358259,195.89130026513936,22.265625,7.731640152055087,-2.16666738224067,0.26657402124042673
candidate_dqn,heterogeneous,34000-34039,40,128,33.592280227683275,857.5383064096172,1278.724900504856,179.80735471673628,22.98828125,7.464336591850166,-2.0495138419478294,0.25990288216571267
